gap_id,timestamp_before,timestamp_after,duration_minutes,estimated_missing_m15_timestamps,is_grid_aligned_interval,crosses_utc_date,weekday_before,weekday_after,preliminary_category,classification_reason
1241,2023-06-21T14:45:00Z,2023-06-21T16:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1242,2023-06-21T16:45:00Z,2023-06-21T18:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1243,2023-06-21T18:45:00Z,2023-06-21T20:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1244,2023-06-21T20:45:00Z,2023-06-21T22:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1245,2023-06-21T22:45:00Z,2023-06-22T00:00:00Z,75.0,4,True,True,Wednesday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval crosses a UTC date
1246,2023-06-22T10:45:00Z,2023-06-22T13:00:00Z,135.0,8,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1247,2023-06-22T13:45:00Z,2023-06-22T15:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1248,2023-06-22T15:45:00Z,2023-06-22T17:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1249,2023-06-22T17:45:00Z,2023-06-22T19:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1250,2023-06-22T19:45:00Z,2023-06-22T21:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1251,2023-06-22T22:45:00Z,2023-06-23T00:00:00Z,75.0,4,True,True,Thursday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval crosses a UTC date
1252,2023-06-23T10:45:00Z,2023-06-23T12:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1253,2023-06-23T12:45:00Z,2023-06-23T14:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1254,2023-06-23T14:45:00Z,2023-06-23T16:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1255,2023-06-23T16:45:00Z,2023-06-23T18:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1256,2023-06-23T18:45:00Z,2023-06-25T21:00:00Z,3015.0,200,True,True,Friday,Sunday,likely_weekly_closure,duration >= 1440 configured minutes; Friday/Saturday before and Sunday/Monday after
1257,2023-06-25T21:45:00Z,2023-06-25T23:00:00Z,75.0,4,True,False,Sunday,Sunday,unclassified,interval does not satisfy the configured descriptive category rules
1258,2023-06-26T09:45:00Z,2023-06-26T11:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1259,2023-06-26T11:45:00Z,2023-06-26T13:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
