profile,analysis_scope,weekday_name,sample_size,missing_count,mean,median,standard_deviation,variance,minimum,maximum,percentile_1,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,interquartile_range,median_absolute_deviation,coefficient_of_variation,skewness,excess_kurtosis,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,proportion_above_full_sample_median,qq_plot_correlation,study_date_start,study_date_end
SENSITIVITY_FULL,complete_weekday_dates,Monday,81,0,111.63456790123448,97.000000000000412,58.636624989194672,3438.2537901234491,23.100000000000342,369.9999999999992,23.900000000000254,44.399999999999991,53.900000000000055,72.200000000000045,138.49999999999918,186.99999999999937,210.00000000000128,274.79999999999939,66.29999999999913,35.999999999998252,0.52525508981296698,1.4686842214754725,3.7261392214181335,99.060339506172639,124.27885802469117,88.975000000001288,116.00000000000054,0.40740740740740738,0.94711449163896277,2010-01-04,2026-06-25
SENSITIVITY_FULL,complete_weekday_dates,Tuesday,79,0,137.49113924050636,136.39999999999873,67.87815288020937,4607.4436384290766,28.799999999999937,306.00000000000182,29.969999999998944,43.449999999999321,49.380000000000202,81.649999999999778,187.99999999999926,226.99999999999943,251.09999999999897,301.32000000000056,106.34999999999948,53.600000000000335,0.49369110806096034,0.32832246402616477,-0.64925260395376849,122.74746835443062,153.03775316455705,111.92500000000112,161.00000000000003,0.58227848101265822,0.98640837580362539,2010-01-04,2026-06-25
SENSITIVITY_FULL,complete_weekday_dates,Wednesday,79,0,120.16455696202534,109.00000000000131,59.14371466264285,3497.9789840961153,26.100000000000012,330.00000000000136,28.985999999999869,45.57999999999906,50.720000000000098,79.199999999999278,151.00000000000114,191.19999999999936,209.20000000000135,299.58000000000123,71.800000000001859,35.700000000002944,0.49218934565983191,1.1004464340047362,1.88297134003043,106.99129746835439,133.32199367088592,95.000000000000639,133.99999999999855,0.46835443037974683,0.96403529182464964,2010-01-04,2026-06-25
SENSITIVITY_FULL,complete_weekday_dates,Thursday,81,0,125.00246913580234,114.00000000000077,65.211199144220387,4252.5004938271695,37.700000000000507,346.99999999999949,39.779999999999923,47.300000000001226,54.6000000000002,74.899999999999963,167.99999999999926,206.00000000000173,219.00000000000028,339.80000000000035,93.099999999999298,43.999999999999574,0.52167928837769695,1.1851282474954894,1.8217363360602423,111.52854938271599,139.48592592592581,95.999999999998309,127.99999999999922,0.49382716049382713,0.95427223021368535,2010-01-04,2026-06-25
SENSITIVITY_FULL,complete_weekday_dates,Friday,78,0,122.38333333333337,121.49999999999994,56.437880842031916,3185.2343939393932,32.499999999999751,260.00000000000023,36.504000000000332,41.884999999998954,49.119999999999834,71.249999999999915,160.25000000000011,203.19999999999982,221.99999999999997,248.44999999999985,89.000000000000199,41.499999999999858,0.46115659138252946,0.33227014535475741,-0.63027818347474129,110.48576923076936,134.90782051282079,104.14999999999952,135.00000000000068,0.55128205128205132,0.98709996564474956,2010-01-04,2026-06-25
SENSITIVITY_2023,complete_weekday_dates,Monday,3,0,80.399999999999736,76.899999999999736,7.9504716841207603,63.210000000006005,74.799999999999301,89.500000000000128,74.841999999999302,75.009999999999337,75.219999999999388,75.849999999999511,83.199999999999932,86.980000000000047,88.240000000000094,89.248000000000118,7.3500000000004206,2.1000000000004349,0.098886463732845598,1.5970969928696772,-1.5000000000000056,74.799999999999301,89.500000000000128,74.799999999999301,89.500000000000128,0.33333333333333331,0.92447345164191319,2023-01-30,2023-04-06
SENSITIVITY_2023,complete_weekday_dates,Tuesday,3,0,89.33333333333384,97.400000000000816,14.319683422944729,205.05333333335807,72.799999999999528,97.800000000001219,73.291999999999547,75.25999999999965,77.719999999999786,85.100000000000165,97.600000000001017,97.720000000001136,97.760000000001185,97.79200000000121,12.500000000000853,0.40000000000040359,0.16029496368967891,-1.7305305016140735,-1.5000000000000038,72.799999999999528,97.800000000001219,72.799999999999528,97.800000000001219,0.66666666666666663,0.87292432596462521,2023-01-30,2023-04-06
SENSITIVITY_2023,complete_weekday_dates,Wednesday,3,0,105.36666666666639,83.899999999998968,67.221821853720868,4518.7733333333854,51.499999999999879,180.7000000000003,52.147999999999861,54.739999999999789,57.979999999999698,67.69999999999942,132.29999999999964,161.34000000000003,171.02000000000015,178.76400000000027,64.600000000000222,32.399999999999089,0.63797996064904505,1.2904868301528039,-1.5000000000000007,51.499999999999879,180.7000000000003,51.499999999999879,180.7000000000003,0.33333333333333331,0.96099745913721413,2023-01-30,2023-04-06
SENSITIVITY_2023,complete_weekday_dates,Thursday,4,0,85.925000000000011,74.600000000000222,38.822791845340063,1507.2091666666031,53.000000000000824,141.49999999999883,53.444000000000798,55.220000000000717,57.440000000000602,64.100000000000264,96.424999999999983,123.4699999999993,132.48499999999905,139.69699999999887,32.324999999999719,14.199999999999768,0.45182184283200533,1.4800809888586779,2.3808329187083288,60.100000000000705,123.07499999999916,53.000000000000824,141.49999999999883,0.25,0.93344905695571023,2023-01-30,2023-04-06
SENSITIVITY_2023,complete_weekday_dates,Friday,3,0,106.49999999999973,86.399999999999807,35.50929455790471,1260.910000000041,85.599999999999,147.5000000000004,85.615999999999019,85.679999999999083,85.759999999999167,85.999999999999403,116.9500000000001,135.28000000000029,141.39000000000033,146.27800000000039,30.950000000000699,0.80000000000080718,0.33342060617750985,1.731061830842362,-1.4999999999999993,85.599999999999,147.5000000000004,85.599999999999,147.5000000000004,1,0.87160278415361903,2023-01-30,2023-04-06
